timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open
2014-06-28,713355.934065934,13462580114.524994,15001.231804945057,54392,0,159913,170152,5547.613300000001,182,596.5490112305,20814600.0,7737366939.75,599.0770263672
2014-06-29,787422.7261146497,15429083780.833988,15029.05378598726,49094,0,141290,214015,5228.629999999999,157,602.7150268555,13398100.0,7730991679.22,596.3319702148
2014-06-30,1303002.3636363635,16818461371.160995,15038.486097727277,70231,0,214517,214243,7126.146999999999,132,639.7969970703,8897470.0,7813280834.62,602.6199951172
2014-07-01,1317608.060150376,16818461371.160994,15591.00895037594,69443,0,220478,214590,8147.429900000001,133,640.8060302734,46422400.0,8296103744.68,641.3909912109
2014-07-02,1166724.4379562044,16818461371.160995,16325.039532846717,66728,0,198070,205101,8293.857,137,650.8790283203,38446300.0,8311317900.6,641.0369873047
2014-07-03,1069070.1007194244,16818461371.160995,16224.835146762587,62849,0,182326,198364,7100.7956,139,645.1560058594,25768200.0,8444194978.48,650.7689819336
2014-07-04,791094.1927710844,16818461371.160995,16178.585000602408,59494,0,160096,179158,6529.573100000001,166,630.6920166016,18949000.0,8372189412.0,644.6459960938
2014-07-05,736571.2105263158,16818461371.160995,16003.354213157896,49954,0,134707,160196,5297.886100000001,152,631.4569702148,22237200.0,8187107455.8,629.9509887695
2014-07-06,929949.5211267604,16818461371.160992,15816.76092464789,52139,0,151576,222540,5823.447499999998,142,635.8070068359,9105940.0,8199437572.15,631.7719726563
2014-07-07,1017121.3333333334,16818461371.160994,15901.679937333334,64686,0,184673,210116,7114.554800000002,150,624.0859985352,10080000.0,8258179219.5,635.4630126953
2014-07-08,1141577.2533333334,16818461371.160994,15760.932083999998,70117,0,207023,234446,7714.794199999999,150,624.8179931641,17813600.0,8108140914.15,622.5700073242
2014-07-09,1026352.9638554216,16818461371.160995,15651.711661445785,68518,0,212095,212429,7297.6407,166,624.508972168,10005500.0,8120056625.75,625.2210083008
2014-07-10,1015290.7651006712,16818461371.160995,15673.675952348996,64605,0,186307,197022,6991.9447,149,616.7620239258,9819150.0,8118679450.9,624.8259887695
2014-07-11,933897.2307692308,16818461371.160995,15521.644782051282,59077,0,180000,189315,6730.537499999999,156,632.0029907227,15880700.0,8020234276.55,616.6619873047
2014-07-12,775612.101910828,16834953587.955488,15598.546233757965,53454,0,144789,182105,5423.772,157,633.7130126953,16467100.0,8220889623.03,631.8809814453
2014-07-13,851542.6,17336316978.508,15800.135999375,52417,0,158310,226973,5941.682000000001,160,626.4970092773,13329000.0,8245635913.62,634.2169799805
2014-07-14,1052141.8370370371,17336316978.508,15764.98991851852,62761,0,173601,188638,7389.9784,135,619.3150024414,11291000.0,8154265678.05,626.5620117188
2014-07-15,1034645.3333333334,17336316978.508003,15608.999086792452,72316,0,200439,218854,7790.7588,159,621.5859985352,12706800.0,8062877467.88,619.9959716797
2014-07-16,1037969.2777777778,17336316978.508,15620.791304166669,65571,0,182591,195384,7853.862300000001,144,616.799987793,10873200.0,8094883398.7,622.0130004883
2014-07-17,904981.953488372,17336316978.508,15508.561645348838,66233,0,189888,204415,7277.500900000001,172,623.0889892578,13182400.0,8034806880.0,616.5390014648
2014-07-18,898057.5581395349,17336316978.508,15505.968518023255,64062,0,192919,192786,7390.5026,172,628.7789916992,16576700.0,8119394872.88,622.3690185547
2014-07-19,765578.7118644068,17336316978.508,15619.964756497176,59553,0,164126,179749,6454.145200000001,177,628.5150146484,14158100.0,8196212862.38,629.166015625
2014-07-20,856152.3870967742,17336316978.508003,15700.567136129031,52001,0,151083,227657,5629.1226,155,623.9000244141,7222030.0,8195599906.88,628.5590209961
2014-07-21,975350.5806451612,17336316978.508003,15672.716687741937,64190,0,185685,197264,6621.038199999999,155,622.2109985352,5760120.0,8137808455.0,623.950012207
2014-07-22,1086204.4788732394,17336316978.508003,15592.52994859155,66858,0,190976,196088,7281.6639,142,621.5510253906,10711900.0,8118204690.85,622.2730102539
2014-07-23,1042464.904109589,17336316978.508,15606.17825410959,66883,0,186325,199524,6851.5445,146,619.4149780273,9602880.0,8111799945.9,621.1229858398
2014-07-24,1080125.034965035,17336316978.508003,15578.977804195803,66276,0,189737,203433,6646.3672,143,601.7329711914,11056600.0,8086153117.5,619.4959716797
2014-07-25,922672.0981595092,17439393634.68974,15301.553773006137,61498,0,183986,201147,6284.1898,163,601.0889892578,20917200.0,7857489687.3,601.5120239258
2014-07-26,913129.343283582,18736441558.310005,15077.231789552236,56333,0,148029,168146,5256.995400000001,134,595.8129882813,12279500.0,7851574790.25,601.5419921875
2014-07-27,874633.6209150327,18736441558.31,14955.755336601303,51991,0,155005,224746,5317.4635,153,593.8519897461,10752900.0,7784669228.12,595.6719970703
2014-07-28,1016612.1333333332,18736441558.31,14938.619722666666,64744,0,187631,200416,6167.8752,150,585.6909790039,7774230.0,7761289328.8,594.1370239258
2014-07-29,966251.2483221476,18736441558.31,14664.059374496645,61607,0,175914,192235,6080.6211,149,584.7249755859,19316400.0,7656826296.65,585.5520019531
2014-07-30,922804.1162790698,18736441558.31,14667.53597616279,66153,0,196032,203920,6456.1335,172,567.2930297852,11275400.0,7646390352.5,584.7420043945
2014-07-31,1061728.7272727273,18736441558.31,14523.09473116883,69761,0,202115,209584,6521.1615,154,586.2349853516,14898800.0,7420859009.27,567.367980957
2014-08-01,973155.1592356688,18736441558.31,14366.232315286628,67915,0,185503,208421,6120.1171,157,594.916015625,22467900.0,7670841007.38,586.2020263672
2014-08-02,760809.3251533742,18736441558.31,14832.501681595091,54989,0,150744,168367,5012.4929,163,589.3330078125,18215900.0,7786796032.4,594.8980102539
2014-08-03,793939.1428571428,18736441558.31,14792.779394805197,53621,0,139021,211180,5047.9294,154,586.666015625,8359080.0,7716181168.97,588.8930053711
2014-08-04,1205222.09375,18736441558.31,14683.4955984375,67847,0,193103,186797,6495.443499999999,128,588.7819824219,9917990.0,7683520602.05,586.2329711914
2014-08-05,1295705.362962963,18736441558.310005,14744.43716148148,72823,0,214941,227423,7112.8200000000015,135,585.4359741211,9867570.0,7713117797.75,589.0109863281
2014-08-06,1150391.4390243902,18736441558.31,14716.594778658537,80402,0,230807,248227,7723.4233,164,584.6530151367,10790800.0,7671275261.9,585.9520263672
2014-08-07,999148.225,18736441558.31,14678.922135,69913,0,196521,207962,6427.5879,160,588.8690185547,14497900.0,7663383046.48,584.6459960938
2014-08-08,1010699.5189873418,19534776726.33474,14691.670135443035,68297,0,197137,202402,6544.3428,158,592.5770263672,11131400.0,7721014780.4,588.875
2014-08-09,764649.3626373627,19729645940.577,14861.588453296705,60599,0,170017,184739,5521.606099999999,182,589.3720092773,11072000.0,7771958457.93,592.4699707031
2014-08-10,826304.5875706215,19729645940.577,14762.726801694917,57913,0,170314,239260,5792.588699999999,177,591.0609741211,7922070.0,7732619577.2,589.1719970703
2014-08-11,989725.4065934066,19729645940.577,14785.71662912088,75575,0,220094,235703,7228.3022,182,576.367980957,7555310.0,7757394871.03,591.2819824219
2014-08-12,1026175.448275862,19729645940.577,14691.426862068967,76982,0,217694,237409,7338.8991,174,569.6420288086,14764200.0,7567178699.6,576.5120239258
2014-08-13,1267042.924137931,19729645940.577,14320.395610344827,75738,0,229097,227146,7089.9145,145,546.6580200195,13978200.0,7481336242.8,570.3770141602
2014-08-14,1037291.9777777778,19729645940.577,13882.52455777778,79082,0,234562,230769,6754.4805,180,505.9739990234,25777500.0,7181459812.45,546.1810302734
2014-08-15,1034797.5272727272,19729645940.577,13068.779636363635,73193,0,210262,213186,6274.9676,165,497.0100097656,35803900.0,6649282619.7,511.1380004883
2014-08-16,1242767.493670886,19729645940.576992,12703.83845886076,67974,0,245614,198142,6610.4276,158,519.7080078125,25598300.0,6533519506.5,497.8259887695
