date,price, market_cap ,total_volume,rainbow_indicator
28/10/2015,303.64,"4,486,177,628.60","387,209,571",BUY!
29/10/2015,313.91,"4,639,133,966.83","543,163,761",BUY!
30/10/2015,325.8,"4,816,269,544.72","843,340,993",BUY!
31/10/2015,312.28,"4,617,510,889.91","321,997,492",BUY!
01/11/2015,325,"4,806,796,483.20","582,434,357",BUY!
02/11/2015,350.77,"5,189,223,756.42","636,690,229",BUY!
03/11/2015,398.24,"5,893,149,469.89","987,283,928",BUY!
04/11/2015,404.36,"5,985,308,848.63","984,425,382",Accumulate
05/11/2015,387.47,"5,736,789,622.45","913,505,445",BUY!
06/11/2015,372.83,"5,521,254,799.20","770,242,854",BUY!
07/11/2015,387.06,"5,733,490,750.50","462,741,972",BUY!
08/11/2015,371.5,"5,504,396,533.20","264,157,490",BUY!
09/11/2015,380.64,"5,641,277,305.40","420,137,368",BUY!
10/11/2015,336.87,"4,993,780,086.52","620,473,336",BUY!
11/11/2015,305.98,"4,537,161,821.45","572,707,253",BUY!
12/11/2015,337.96,"5,012,582,355.50","546,923,067",BUY!
13/11/2015,337.37,"5,005,284,729.20","414,918,018",BUY!
14/11/2015,331.5,"4,919,391,964.75","131,135,196",BUY!
15/11/2015,320.48,"4,757,160,338.70","237,800,139",BUY!
16/11/2015,331.35,"4,919,473,733.63","239,442,893",BUY!
17/11/2015,335.11,"4,976,968,038.70","236,625,919",BUY!
18/11/2015,335.45,"4,983,266,453.20","185,981,663",BUY!
19/11/2015,325.57,"4,837,533,520.00","206,391,901",BUY!
20/11/2015,321.42,"4,777,269,083.55","123,560,944",Fire sale!
21/11/2015,325.16,"4,834,317,690.45","199,949,522",BUY!
22/11/2015,323.4,"4,809,449,591.25","167,053,005",BUY!
23/11/2015,322.83,"4,802,404,204.00","188,739,479",BUY!
24/11/2015,319.98,"4,761,183,526.82","103,800,162",Fire sale!
25/11/2015,328.17,"4,884,311,515.72","714,595,230",BUY!
26/11/2015,356.25,"5,303,722,123.25","1,237,550,808",BUY!
27/11/2015,359.01,"5,346,023,825.73","895,711,316",BUY!
28/11/2015,356.21,"5,305,804,455.90","667,783,122",BUY!
29/11/2015,371.49,"5,534,688,265.60","921,927,632",BUY!
30/11/2015,378.27,"5,637,217,098.63","1,299,027,009",BUY!
01/12/2015,363.45,"5,417,967,322.50","523,072,118",BUY!
02/12/2015,358.82,"5,350,373,990.50","1,153,668,372",BUY!
03/12/2015,360.95,"5,383,466,480.70","1,149,814,390",BUY!
04/12/2015,362.77,"5,411,894,143.62","1,039,912,870",BUY!
05/12/2015,390.65,"5,829,507,439.88","1,426,331,736",BUY!
06/12/2015,394.01,"5,881,283,993.70","1,512,626,610",BUY!
07/12/2015,394.36,"5,887,868,033.13","1,282,263,557",BUY!
08/12/2015,412.93,"6,167,016,640.75","954,462,002",BUY!
09/12/2015,417.37,"6,235,070,986.20","1,528,970,868",BUY!
10/12/2015,416.91,"6,230,407,267.50","1,275,837,073",BUY!
11/12/2015,452.41,"6,762,812,523.75","1,623,480,958",BUY!
12/12/2015,434.9,"6,502,593,547.98","1,745,413,357",BUY!
13/12/2015,435.82,"6,517,994,663.13","1,484,344,616",BUY!
14/12/2015,443.28,"6,631,778,541.60","1,497,157,324",BUY!
15/12/2015,465,"6,958,907,659.57","1,555,251,795",BUY!
16/12/2015,453.91,"6,794,808,883.75","896,686,370",BUY!
17/12/2015,456.47,"6,834,975,641.85","1,302,614,351",BUY!
18/12/2015,463.82,"6,946,908,498.60","1,135,226,734",BUY!
19/12/2015,462.05,"6,922,223,916.85","556,941,127",BUY!
20/12/2015,441.13,"6,610,549,657.72","1,175,787,491",BUY!
21/12/2015,437.81,"6,562,505,169.83","1,416,880,180",BUY!
22/12/2015,436.24,"6,540,512,246.93","1,296,402,582",BUY!
23/12/2015,442.82,"6,640,942,254.90","955,949,148",BUY!
24/12/2015,454.91,"6,823,821,080.83","1,418,671,442",BUY!
25/12/2015,455.74,"6,838,203,626.10","1,058,738,142",BUY!
26/12/2015,417.09,"6,260,008,700.40","1,725,069,506",BUY!
27/12/2015,423.93,"6,364,767,557.50","1,378,749,291",BUY!
28/12/2015,420.71,"6,318,056,013.90","1,310,931,885",BUY!
29/12/2015,432.15,"6,491,698,545.65","1,176,234,727",BUY!
30/12/2015,426.81,"6,413,208,734.63","1,227,648,166",BUY!
31/12/2015,431.14,"6,479,728,151.18","1,310,033,275",BUY!
01/01/2016,434.43,"6,530,621,623.57","1,338,781,511",BUY!
02/01/2016,434.33,"6,530,688,608.25","769,869,068",BUY!
03/01/2016,430.2,"6,470,199,429.90","984,185,980",BUY!
04/01/2016,433.53,"6,522,334,778.05","1,021,957,723",BUY!
05/01/2016,432.12,"6,502,628,563.13","758,209,346",BUY!
06/01/2016,431.34,"6,492,499,350.98","833,341,869",BUY!
07/01/2016,456.43,"6,870,164,692.05","1,637,948,558",BUY!
08/01/2016,454.7,"6,847,658,073.56","1,501,742,594",BUY!
09/01/2016,448.71,"6,759,240,198.75","1,085,553,694",BUY!
10/01/2016,447.21,"6,738,604,517.40","1,361,099,090",BUY!
11/01/2016,448.35,"6,757,695,467.60","1,182,725,806",BUY!
12/01/2016,445.79,"6,721,027,667.20","888,588,585",BUY!
13/01/2016,432.12,"6,516,499,236.00","1,584,488,641",BUY!
14/01/2016,429.24,"6,474,583,370.17","1,266,295,629",BUY!
15/01/2016,365.91,"5,519,407,460.20","1,576,734,614",BUY!
16/01/2016,384.81,"5,806,905,132.60","1,710,583,688",BUY!
17/01/2016,386.36,"5,830,189,311.20","1,476,285,801",BUY!
18/01/2016,385.13,"5,814,809,590.70","1,357,696,059",BUY!
19/01/2016,379.02,"5,723,770,825.50","1,157,108,221",BUY!
20/01/2016,418.85,"6,326,929,406.40","1,674,254,290",BUY!
21/01/2016,407.82,"6,161,646,248.88","1,484,721,462",BUY!
22/01/2016,377.21,"5,700,897,323.25","1,626,853,796",BUY!
23/01/2016,389.64,"5,889,248,376.55","755,378,842",BUY!
